title,lyrics,Album,release_year,Word Count,joy,sadness,surprise,trust,anger,disgust,anticipation,fear,score,sentiment,filter,joy_norm,sadness_norm,surprise_norm,trust_norm,anger_norm,disgust_norm,anticipation_norm,fear_norm
Sledgehammer,meghan trainor could take pulse right would feel like sledgehammer could feel heart beat would like sledgehammer admit play cool every minute that feel fever break sweat body tellin secrets told meghan trainor woah struggle contain woah love that veins woah circulates woah meghan trainor could take pulse right would feel like sledgehammer could feel heart beat would like sledgehammer taken beat body taken beat body lift lift take pulse right would feel like sledgehammer close together apart turnin fire waitin spark meghan trainor woah struggle contain woah love that veins woah circulates woah meghan trainor could take pulse right would feel like sledgehammer could feel heart beat would like sledgehammer taken beat body taken beat body lift lift take pulse right would feel like sledgehammer bridge meghan trainor truth stopping getting closer enough undress love comin take pulse right would feel like sledgehammer take pulse right would feel like sledgehammer hammer take pulse meghan trainor could take pulse right would feel like sledgehammer woah could feel heart beat could feel heart beat would like sledgehammer hammer taken beat body taken beat body lift lift take pulse right would feel like sledgehammer,Reflection,2014,212,3,2,1,1,2,0,0,5,0.4534883720930232,fear,intenso,0.06976744186046512,0.028985507246376812,0.01818181818181818,0.0,0.0273972602739726,0.0,0.0,0.07462686567164178
Dope,jersey tongue saying much feeling attitude that east coasting baby driving crazy just like supposed with hands could save face could break sort love tryna find words tell feel show real tryna find words know else pretty fucking dope just know thinking bout ways that wanna hold close just know know else pretty fucking dope know woah know else pretty fucking dope post already know already know girlfriend cause comin wanna selfish help wantin know cool shit want much know true tryna find words tell feel show real tryna find words know else pretty fucking dope just know just know thinking bout ways that wanna hold close wanna hold close just know know else pretty fucking dope dope know know woah know else pretty fucking dope post already know already know already know already know bridge what think ways make feel know think woah already know what think ways make feel know think woah both know else pretty fucking dope just know thinking bout ways that wanna hold close just know know else pretty fucking dope just know thinking bout ways that wanna hold close,7/27,2016,222,13,8,2,15,12,3,9,8,0.5232558139534884,trust,intenso,0.3023255813953488,0.11594202898550725,0.03636363636363636,0.5,0.1643835616438356,0.04225352112676056,0.3103448275862069,0.11940298507462686
The Life,fifth harmony ever since young tryna right every year working towards goal sleep daylight living going rope like seeing bright lights keep pour night times times double back mind this life life life this life life life this life life life this life life life this life this life life life this life life life this life this life life life this life this life post give kids eating good getting living life feeling rich this life best breaking betting chips living life feeling rich level meet court side tricking whippin hard coupe what board flight other time there show gotta stress baby find getting beach dubai what pool side sipping double back mind this life life life this life life life this life life life this life life life this life this life life life this life life life this life this life life life this life life post give kids eating good getting living life feeling rich this life best best breaking betting chips cause life living life feeling rich breakdown this life living life feeling rich living life living life feeling rich bridge stress baby find getting beach dubai pool side sipping double this life this life life life this life life life this life this life life life livin this life life life this life this life life life this life life life this life this life life life this life life life give give post give kids eating good getting give give living life feeling rich this life best best breaking betting chips baby living life feeling rich this life,7/27,2016,335,18,8,12,14,9,8,15,9,0.622093023255814,joy,intenso,0.4186046511627907,0.11594202898550725,0.21818181818181817,0.4642857142857143,0.1232876712328767,0.11267605633802817,0.5172413793103449,0.13432835820895522
Write On Me,pick paper write skin bring life start again there eraser flaws right everything blank draw touching body like know write color outside lines love baby take time write gimme wings love never change mind post write write write write write write write write love write friend straight chaser burns going down keeps alive tell truth like danger danger cause mine everything gray draw touching body like know write color outside lines love baby take time write gimme wings love never change mind post write write write write bridge could city sleep could ocean wave everything changing written face could city sleep could ocean wave everything changing written face write color outside lines love baby take time write gimme wings love never change mind write post write write write write write write write write write write write love write write write write,7/27,2016,170,13,3,0,3,0,1,5,8,0.5290697674418605,joy,intenso,0.3023255813953488,0.043478260869565216,0.0,0.07142857142857142,0.0,0.014084507042253521,0.1724137931034483,0.11940298507462686
Big Bad Wolf,kiss kiss lips racing baby guilty wherever angel confess salvation carry dark break give give something believe gotta gotta even reason even gotta have gotta reason love love baby weekend come come sink teeth cause wanna talk baby hands wanna make move want shot baby cock pull gonna bite wolf cause wanna talk baby hands wanna make move want shot baby cock pull gonna bite wolf interlude whisper secrets mine take over swing like chariot ride drunk body never sober poison tonight break woah both give give something believe gotta gotta even reason even gotta have gotta reason love love baby weekend come come sink teeth cause wanna talk baby hands wanna make move make move want shot baby cock pull gonna bite gonna bite wolf cause wanna talk baby hands wanna make move want shot baby cock pull gonna bite wolf wolf bridge hold back back baby give that baby come anything want hold back baby give that baby anything want cause wanna talk baby hands cause wanna talk wanna make move want shot baby cock pull gonna bite gonna bite wolf wolf cause wanna talk baby hands baby hands wanna make move make move want shot baby cock pull gonna bite wolf wolf,7/27,2016,237,28,22,11,3,8,1,4,20,0.44767441860465107,joy,intenso,0.6511627906976745,0.3188405797101449,0.2,0.07142857142857142,0.1095890410958904,0.014084507042253521,0.13793103448275862,0.29850746268656714
Deliver,know keep ready regular ready settin when give make sure give enough know know this know know this need replacement warranty never need another that guarantee overnight body that need know know this know know this never miss know always come through show lookin like photo keep foolproof proof when call know know what baby knows deliver that exactly baby know deliver know what comin come through through know message deliver that exactly baby know deliver know know what comin come even gotta always done easily assure back what resume know know this know notice never lettin never lettin heard about that come around know know this know know this never miss know always come through show lookin like photo keep foolproof proof when call know know baby knows deliver that exactly baby know deliver know what comin come through through know message deliver that exactly exactly gonna baby know deliver deliver know what comin come bridge doorstep like send back well hard please like give give that bring somethin wanna unpack reliable like never miss know always come through show lookin like photo keep full proof proof when call know know baby knows deliver that exactly baby know deliver know what comin come through through know message deliver that exactly baby know deliver deliver deliver know what comin come baby deliver,Fifth Harmony,2017,273,10,1,0,11,0,0,2,1,0.5988372093023255,trust,intenso,0.23255813953488372,0.014492753623188406,0.0,0.35714285714285715,0.0,0.0,0.06896551724137931,0.014925373134328358
Reflection,must confess looking fresh fresh impressed head flex flex turn everybody hatin stealin show cause killin like terrio could anythin want anythin want nobody nobody ever tell need filters pictures post gram could shut internet even understand like make quite like like braggin know true from where from must heaven rich lookin good profession think love cause sexy talkin talkin reflection post talkin reflection talkin reflection talkin talkin reflection talkin reflection talkin reflection talkin talkin reflection think puttin favorite perfume think dress tight could barely move think dancin uncomfortable shoes ever confused braggin know true from where from must heaven rich lookin good profession think love cause sexy talkin talkin reflection post talkin reflection talkin reflection talkin talkin reflection talkin reflection talkin reflection talkin talkin reflection bridge mirror mirror wall should even return call snow white snow white mirror mirror wall should even return call mirror mirror wall should even return call mirror mirror wall wall from what planet must heaven okay rich lookin good profession ching think love cause sexy sexy talkin talkin reflection post talkin reflection talkin reflection talkin talkin reflection talkin reflection talkin reflection talkin talkin reflection,Reflection,2015,218,11,0,3,10,0,0,5,0,0.6453488372093024,joy,intenso,0.2558139534883721,0.0,0.05454545454545454,0.32142857142857145,0.0,0.0,0.1724137931034483,0.0
I’m in Love with a Monster,thorn rose covered dirt covered gold trying ticking want ever told cause love monster friends stupid mind without bored time really care conversation everythin need rather chasing chasing love monster love love love love love monster love love love love love monster love monster both wrap leather wrap lace breakin rules like changing game tryin ticking want ever told love monster monster nana told better taste rather look face really care lame conversation everything need rather chasing chasing love monster love love love love love monster love love love love love monster love monster bridge sweeter gettin love worth dime cause enough leave bitter better refrain make crazy love love babe make crazy baby love bite baby make crazy love make crazy baby love interlude love monster everybody know know know know everybody loves monster know know know know everybody loves monster love monster love post love love monster love monster love never find another monster wanna know wanna know love monster three four five seven eight thank goodnight,Reflection,2015,228,43,8,1,1,5,1,1,26,0.5116279069767442,joy,intenso,1.0,0.11594202898550725,0.01818181818181818,0.0,0.0684931506849315,0.014084507042253521,0.034482758620689655,0.3880597014925373
I Lied,crazy four letter word gets tossed guilty said many times before front more that showin real that givin chills past could open eyes thought found every time said love lied cause love never high said love lied cause everything different time post said love lied cause love never high foolish thought could back truth truth lose never that showin real showin real only that givin chills givin chills past could open eyes open eyes thought found every time said love lied cause love never high said love lied cause everything different time come post said love lied cause love never high bridge real love that text mornin real love mary call real love real love real love that text mornin real love mary call real love real love said love lied cause love never high said love lied cause love never high post love talkin bout real love said love lied cause love never high real love that text mornin real love mary call real love real love that real love that text mornin real love real love mary call real love real love real love,7/27,2016,221,38,3,1,27,4,1,8,2,0.8488372093023255,joy,intenso,0.8837209302325582,0.043478260869565216,0.01818181818181818,0.9285714285714286,0.0547945205479452,0.014084507042253521,0.27586206896551724,0.029850746268656716
Miss Movin’ On,breaking down gonna start scratch shake like etch sketch lips saying goodbye eyes finally used took record repeat killed survived comin alive never girl again woah never girl again woah innocence wearing thin heart growing strong call call call miss movin post miss movin broke glass surrounded surrounded remember remember good girl fragile more jumped fence side side whole world electrified electrified longer afraid independence independence never girl again woah never girl again woah innocence wearing thin heart growing strong call call call miss movin bridge everything changing never want back finding gonna enough gonna enough gonna enough never girl again woah never girl again innocence wearing thin heart growing strong call call call miss movin movin post miss movin miss movin miss movin movin,Reflection,2013,159,5,2,4,5,0,1,6,3,0.558139534883721,anticipation,intenso,0.11627906976744186,0.028985507246376812,0.07272727272727272,0.14285714285714285,0.0,0.014084507042253521,0.20689655172413793,0.04477611940298507
Gonna Get Better,gonna leave know better gonna leave know better leave money matter through gonna leave know better know always think always think unsatisfied that tempted kings finest things know truth know always think unhappy paradise that wantin trees growing green know want thought know better babe than think would need house hills need like midas midas thought know better babe than think would need house benz just want love woah gonna leave know better gonna leave know better leave money matter through gonna leave know better know always think always think unsatisfied that tempted kings finest things know truth truth know always think unhappy paradise that wantin trees growing green know want thought know better babe than think would need house hills want like midas midas woah thought know better babe than think would woah need house benz just want love woah gonna leave gonna leave know better gonna leave know better leave money money matter through gonna leave know better better bridge breakdown gonna leave know better gonna leave know better leave money matter through gonna leave know gonna better gonna better gonna leave know better gonna leave know better leave money money matter through gonna leave leave know better better,7/27,2016,246,11,26,29,12,9,4,11,0,0.6162790697674418,surprise,intenso,0.2558139534883721,0.37681159420289856,0.5272727272727272,0.39285714285714285,0.1232876712328767,0.056338028169014086,0.3793103448275862,0.0
Who Are You,monday sent flowers tuesday made feel stupid wednesday world ours thursday prove friday fell back love saturday talk sunday said needed space miss crazy losing hold love baby either want need know need know today will pouring rain tomorrow will make smile bring sorrow gonna lost scared gonna there nobody there today cause still still same post monday heart tuesday screaming wednesday part thursday mean friday shook saturday wrong sunday said needed space miss crazy losing hold love baby either want need know need know today will pouring rain tomorrow will make smile bring sorrow gonna lost scared gonna there nobody there today cause still same interlude bridge strange thing make feel right bring much pain strange face make love hurts where where need know need know today today will pouring rain pouring rain tomorrow will make smile bring sorrow gonna lost scared gonna there nobody there today today cause still still same same,Reflection,2013,190,9,12,3,3,5,1,3,7,0.4360465116279071,sadness,intenso,0.20930232558139536,0.17391304347826086,0.05454545454545454,0.07142857142857142,0.0684931506849315,0.014084507042253521,0.10344827586206896,0.1044776119402985
Lonely Night,attention better listen cause questions late night textin likin every best friend refrain shit together shit together vision that reason keep distance must confused what must confused what room fools around treat mama right another chick side look everywhere eyes gonna lonely lonely lonely lonely lonely night post lonely lonely lonely lonely lonely lonely lonely lonely night lonely lonely lonely lonely lonely lonely lonely lonely night learn lesson permanent detention want love affection then better make good impression refrain shit together shit together vision that reason keep distance must confused bout must confused bout room fools around round treat mama right another chick side when know want baby look everywhere eyes gonna lonely lonely lonely lonely lonely night post lonely lonely lonely lonely lonely lonely lonely lonely night lonely night lonely lonely lonely lonely lonely night lonely lonely lonely lonely night bridge this warnin right have lonely night lonely night this warnin right right have lonely night lonely night breakdown night lonely night woah treat mama right another chick side look everywhere eyes woah gonna lonely lonely lonely lonely lonely night gonna lonely lonely lonely lonely lonely night gonna lonely lonely lonely lonely lonely night,Fifth Harmony,2017,244,8,69,4,7,73,71,7,67,-1.0,anger,intenso,0.18604651162790697,1.0,0.07272727272727272,0.21428571428571427,1.0,1.0,0.2413793103448276,1.0
"Brave, Honest, Beautiful",flict ready ready ready jane fifth harmony waste precious time with nonsense mind criticize more smile worth fightin everythin with perfect porcelain compare gotta remind yourself that amazing babe break every could smilin every gotta remind yourself dance like beyonc shake like shakira cause brave fearless beautiful beautiful whine like rihanna pose like madonna cause brave honest beautiful beautiful girl sell every stadium crowd goes crazy done know beautiful deserve hollywood star everythin with perfect porcelain compare just gotta remind yourself that amazing babe break every could smilin every gotta remind yourself meghan trainor dance like beyonc shake like shakira cause brave fearless beautiful beautiful whine like rihanna pose like madonna cause brave honest beautiful beautiful girl interlude meghan trainor haha said beautiful beautiful meghan bring bass bridge meghan trainor meghan trainor shake shake shake mama show world know wind waist tell stop tell stop tell stop shake shake shake mama show world know confidence help help meghan trainor dance like beyonc shake like shakira cause brave fearless fearless beautiful beautiful woah whine like rihanna whine whine pose like madonna pose like madonna cause brave honest beautiful beautiful girl dance like beyonc shake like shakira shakira shakira cause brave fearless beautiful beautiful whine like rihanna pose like madonna cause brave honest beautiful beautiful girl girl,Reflection,2015,254,34,12,4,17,7,12,9,12,0.5988372093023255,joy,intenso,0.7906976744186046,0.17391304347826086,0.07272727272727272,0.5714285714285714,0.0958904109589041,0.16901408450704225,0.3103448275862069,0.1791044776119403
1000 Hands,tired tired give nothin ever tried perfect somethin like truest everywhere somehow place ever long hold down liberty warm touch pressure fingertips never enough nothin submit wanna feel thousand hands from make feel thousand hands from grab hold soul make feel complete within show these goosebumps skin wear heart sleeve need feel pain would take bullet cause know same warm touch pressure fingertips never enough nothin submit wanna feel thousand hands from make feel thousand hands from want feel thousand thousand hands just wanna feel thousand thousand hands feel thousand hands,7/27,2016,110,2,4,1,4,1,0,5,4,0.4941860465116279,anticipation,intenso,0.046511627906976744,0.057971014492753624,0.01818181818181818,0.10714285714285714,0.0136986301369863,0.0,0.1724137931034483,0.05970149253731343
Bridges,spend time rewind sorry many times remind myself come stories build walls blind ourselves every action there reaction know world cold divide there something inside power grows there something beautiful flaws something calling says build bridges build bridges separate know love conquer hate build bridges bridges walls build bridges walls bridges walls believe beauty love believe really believe every woman fighter believe every stand beside know world cold divide there something inside power grows there something beautiful flaws something calling says build bridges build build bridges separate know love conquer hate build bridges bridges walls build bridges walls bridges walls bridge pray break chains because love worth fighting shed light build pray break chains because love worth fighting shed light build pray break chains because love worth fighting shed light build pray break chains praying because love worth fighting shed light refrain build bridges build pray break chains build bridges because love worth fighting shed light build bridges pray break chains build bridges because love worth fighting shed light build bridges build build bridges build bridges build bridges build bridges build bridges separate build bridges know love conquer hate build bridges build bridges build bridges bridges walls build bridges walls,Fifth Harmony,2017,232,19,3,12,6,9,3,7,9,0.5930232558139534,joy,intenso,0.4418604651162791,0.043478260869565216,0.21818181818181817,0.17857142857142858,0.1232876712328767,0.04225352112676056,0.2413793103448276,0.13432835820895522
Sauced Up,sauced forever young never cause sauced like what what what what what money your flow know fluent code make come bands though drop couple show came refrain disaronno rocks rocks fireball lemon drop lemon drop clock shut talk right right what doin right want problems want power drivin follow sauced forever young never blame drunk love explain tomorrow show rock bass show rock roll cause sauced like what what what sauced sauced feelings sauced feelin bossed make baby what refrain disaronno rocks rocks fireball lemon drop lemon drop clock shut talk right right what doin right want problems want power drivin follow sauced forever young never blame drunk love explain tomorrow show rock bass show rock roll cause sauced like what what what bridge what night feelin ceilin cards table keep hundred baby show made right right what doin right want problems want problems want power drivin drivin follow sauced sauced forever young never blame drunk love blame drunk love babe explain tomorrow show show rock bass show rock roll cause sauced like what post what what sauced sauced woah feelings sauced what feelin bossed woah make what what sauced sauced woah feelings sauced what feelin bossed make what what what what what what,Fifth Harmony,2017,250,11,0,5,13,5,8,10,0,0.627906976744186,trust,intenso,0.2558139534883721,0.0,0.09090909090909091,0.42857142857142855,0.0684931506849315,0.11267605633802817,0.3448275862068966,0.0
Squeeze,night looking wish could read mind dimming light dark going feel only moon guide when alone close give warmth never known face face caught wild embrace this safest place ever known arms around baby arms around baby squeeze only know save arms around baby squeeze squeeze post remember night talking saying words wanna hear most gave heart gave coat cold taking sweet slow when alone close give warmth never known face face caught wild embrace this safest place ever known arms around baby arms around baby squeeze only know save arms around baby squeeze squeeze post arms around baby arms around baby squeeze only know save arms around baby baby squeeze squeeze post would squeeze hold baby,7/27,2016,141,17,2,5,7,1,0,3,1,0.6395348837209303,joy,intenso,0.3953488372093023,0.028985507246376812,0.09090909090909091,0.21428571428571427,0.0136986301369863,0.0,0.10344827586206896,0.014925373134328358
Make You Mad,make make blood veins work baby baby know what mind heart move body every time leave image mind like baby come lock throw come gonna make miss gonna make gonna make sure best ever gonna make miss gonna make gonna make sure best ever post make make night hear call midnight hour that come alive turn light feel power take heat coming inside woah like baby come lock throw come woah gonna make miss gonna make gonna make sure best ever woah woah gonna make miss gonna make make miss gonna make sure best ever post make make make make make make bridge come come come come come what come come come come come gonna make miss make miss gonna make woah gonna make sure best ever best ever baby gonna make miss gonna make love gonna make gonna make sure best ever best ever,Fifth Harmony,2017,181,7,1,1,1,0,0,3,0,0.5406976744186047,joy,intenso,0.16279069767441862,0.014492753623188406,0.01818181818181818,0.0,0.0,0.0,0.10344827586206896,0.0
Scared of Happy,since lost words needles static stutters never knew love hurt feeling heat burn just give good reason drop everythin leave seconds away turnin back around somethin feeling pushin pullin walls fall down usually fearless scared happy usually fearless scared happy afraid nothing afraid used fearless scared happy post scared happy there something good sticking guns blame yourself take step back breathe once this want give good reason drop everythin leave seconds away pullin outside door something feeling pushin pullin that come back more usually fearless scared happy usually fearless scared happy afraid nothing afraid used fearless scared happy happy post scared happy happy bridge when goes down when goes when goes down will still around comin back runnin away usually fearless scared happy usually fearless scared happy fearless afraid nothing afraid used fearless scared happy happy post scared happy scared happy scared happy scared happy scared happy scared happy used fearless scared happy usually fearless scared happy afraid nothin afraid used fearless scared happy,7/27,2016,206,30,8,8,29,6,4,29,25,0.7848837209302326,joy,intenso,0.6976744186046512,0.11594202898550725,0.14545454545454545,1.0,0.0821917808219178,0.056338028169014086,1.0,0.373134328358209
Messy,tell straight feel filter touchin there filter refrain cruel sometimes mind insecure door wonder hard handle dance around house nothin radio scandal runnin mouth crying bedroom floor messy messy admit messy crazy admit changin changin messy messy admit secrets here lights feelin cause hold tongue refrain cruel sometimes mind insecure door wonder hard handle dance around house nothin radio scandal runnin mouth crying bedroom floor messy messy messy admit messy crazy admit changin woah changin messy messy admit admit bridge changin admit admit admit apologies changin changin changin changin admit messy messy admit messy crazy admit admit changin changin changin changin messy messy admit admit post messy messy messy messy baby admit baby babe baby changin changin messy messy admit,Fifth Harmony,2017,178,5,9,2,2,7,24,0,9,0.2441860465116279,disgust,intenso,0.11627906976744186,0.13043478260869565,0.03636363636363636,0.03571428571428571,0.0958904109589041,0.3380281690140845,0.0,0.13432835820895522
